lang_a,lang_b,jsd
chine,finni,0.02562294818079313
chine,croat,0.053610458780454784
finni,croat,0.07025477975904824
en,hi,0.08798813045689256
chine,turki,0.10683707996920966
turki,finni,0.11269300545407757
turki,croat,0.11285499472642126
croat,polis,0.13591162011395028
chine,polis,0.14593835103026623
finni,polis,0.15925117452849807
