lang_a,lang_b,jsd
roman,alban,0.6931471803626352
chine,catal,0.6931471803468563
catal,finni,0.6931471803450915
alban,catal,0.6931471803450217
roman,greek,0.6931471803368179
roman,ru,0.6931471803268259
roman,polis,0.6931471803255049
catal,greek,0.6931471803192044
ru,catal,0.6931471803092122
catal,polis,0.6931471803078915
