lang_a,lang_b,jsd
turkish,chinese,0.2615641731641422
german,chinese,0.2570766435149839
romanian,chinese,0.2230794041729455
indonesian,chinese,0.21744130509090473
portuguese,chinese,0.21591694012109308
italian,chinese,0.20807821850482558
french,chinese,0.20274930211982228
english,turkish,0.19971626740364976
english,german,0.18556313343476388
english,indonesian,0.16448809786254537
