month,sdg,count,z,top_languages,top_countries
2025-06,SDG14_Life_Below_Water,197,3.927252075190368,english (118); spanish (33); portuguese (20),United States (53); Australia (13); Portugal (11)
2024-10,SDG15_Life_On_Land,276,2.823608544000356,english (164); spanish (91); italian (8),United States (77); Colombia (25); Spain (21)
2024-03,SDG5_Gender_Equality,342,2.789666383373251,english (290); spanish (27); portuguese (8),United States (88); United Kingdom (37); Australia (27)
2025-01,SDG10_Reduced_Inequalities,130,2.584519259895866,english (116); russian (4); german (3),United States (55); Australia (39); India (5)
