lang_a,lang_b,jsd
italian,romanian,0.011371478254926558
romanian,turkish,0.01236506274886465
german,turkish,0.012856996489050206
indonesian,turkish,0.014102414512655894
french,romanian,0.014597246795445424
indonesian,romanian,0.015770069627325956
german,romanian,0.016375128495134745
italian,indonesian,0.018094461612605337
german,indonesian,0.020337821648981576
german,french,0.020431867298287075
